Feature,Average SHAP Value,Abs Mean SHAP (Net directional)
year_1992.0,6.965868684770197e-05,1.2880091972554084e-06
year_1993.0,2.4507807838974532e-05,8.717060105924415e-06
year_1995.0,2.4272808859772402e-05,7.985845225613731e-06
year_1997.0,2.2335495686080095e-05,1.5829800542517327e-05
year_1999.0,7.515535943063995e-05,8.126296653454495e-06
year_2001.0,4.1908212914236723e-05,2.725224016618498e-05
year_2003.0,4.1694032344308856e-05,7.416413675041601e-06
year_2005.0,2.887513022747736e-05,8.855828414759137e-07
year_2007.0,7.561180146972126e-05,2.316265603754979e-05
year_2009.0,6.347200063798893e-05,3.326028837723518e-06
year_2011.0,1.0408971154785917e-05,1.3665164660004963e-06
year_2013.0,5.9341728950260246e-06,2.8722274473399143e-06
year_2015.0,1.6748180199060733e-06,1.2514738814625169e-06
year_2017.0,3.871297596477753e-06,1.5411834923725293e-06
censdiv_0.0,6.218066097421426e-05,1.131532388766602e-05
censdiv_1.0,2.7027461633852686e-05,2.4613680494559382e-06
censdiv_2.0,6.716541437264149e-05,3.864748252984721e-06
censdiv_3.0,0.00018952654027348204,4.492261450795243e-06
censdiv_4.0,4.184125058918341e-05,8.795379864510276e-06
censdiv_5.0,0.00010364658001722376,1.241283561458237e-05
censdiv_6.0,6.511586690024734e-05,2.5759072802002084e-06
censdiv_7.0,0.00012289743904541798,6.935350922603146e-06
censdiv_8.0,2.8287402829480034e-05,1.021678120000257e-05
censdiv_9.0,5.684887685304445e-05,4.352345116622312e-06
cohort_10.0,5.741978799239543e-05,7.003676660391091e-06
cohort_20.0,0.00014090391188633877,1.4909134274847037e-05
cohort_30.0,5.665386643152846e-05,3.309666728814877e-06
cohort_40.0,7.077161875816481e-05,1.2236547335203049e-05
twoind_0.0,0.000890038156370399,0.0001386530551619276
twoind_1.0,0.00013543887015265489,2.6034661844995165e-05
twoind_2.0,5.626352848408172e-07,3.943266857449516e-07
twoind_3.0,4.6376213507636426e-06,2.0924420786672058e-06
twoind_4.0,1.8266124436021282e-05,9.681263786333188e-07
twoind_5.0,8.39556596851249e-06,4.3752104038026377e-07
twoind_6.0,2.954529428008887e-06,1.106140264311046e-06
twoind_7.0,2.3147438719438154e-06,1.4661626714406602e-07
twoind_8.0,7.24415487771331e-06,1.74788619575951e-06
twoind_9.0,9.471965356326736e-06,7.778545403259247e-07
twoind_10.0,7.173375453123144e-06,7.158526265063616e-08
twoind_11.0,3.789469922972276e-05,5.988546167333414e-06
twoind_12.0,2.569294339825186e-06,9.061856245664136e-07
twoind_13.0,1.1069964191090061e-05,2.1360256628347765e-06
twoind_14.0,1.3567577793489107e-05,5.472899163154601e-06
