Feature,Average SHAP Value
occ_1.0,1.0302366944023415e-06
twoind_34.0,1.0251416072189764e-06
occ_71.0,1.0243571912702144e-06
occ_42.0,8.809631053197165e-07
occ_49.0,8.73134755872633e-07
occ_50.0,8.385608887146466e-07
occ_54.0,7.93406884339914e-07
occ_15.0,7.706144610067654e-07
occ_18.0,6.917356740511552e-07
occ_79.0,5.815502510569457e-07
state_51.0,5.316060150363394e-07
occ_81.0,4.084425541605323e-07
state_38.0,3.5582816806592786e-07
occ_16.0,3.512175014657801e-07
state_50.0,3.485959318610386e-07
occ_43.0,3.481402724757916e-07
state_44.0,3.4570152603047345e-07
occ_20.0,3.1867383029094926e-07
state_35.0,3.154387234856351e-07
occ_56.0,3.113428063664969e-07
occ_32.0,3.0715731132487625e-07
occ_89.0,2.7533147768943143e-07
occ_80.0,2.2105422360400864e-07
occ_62.0,2.0502838715640712e-07
occ_88.0,1.8868145483059008e-07
state_33.0,1.5535300544987444e-07
occ_36.0,1.3140161935798029e-07
occ_63.0,1.1505454597979486e-07
state_25.0,1.0486099821110815e-07
occ_73.0,7.618446982632677e-08
state_18.0,6.586696813318577e-08
state_-999.2999877929688,6.472177406760426e-08
occ_86.0,4.961837586494634e-08
twoind_15.0,4.4309254606216185e-08
occ_94.0,3.399055344758553e-08
occ_38.0,3.085984366245651e-08
state_7.0,2.6372377871906752e-08
occ_35.0,2.4049451686092698e-08
state_30.0,2.0526924218900493e-08
occ_57.0,1.76360136079255e-08
twoind_32.0,1.4374248349088382e-08
occ_9.0,1.0235701903398504e-08
occ_52.0,4.5135865631970335e-09
state_11.0,1.1079163515967453e-09
occ_82.0,1.018620982502125e-09
