Feature,Average SHAP Value,Abs Mean SHAP (Net directional)
currentage,0.0006919025284366396,2.100875079385693e-05
PrRecess,0.0007395614983300139,0.00024070677574969848
OLF,0.000601211613306211,0.00011104888654552567
tenure,0.006296906478639224,0.0011685329593394838
currentagesq,0.0005993587074215236,3.50779082596244e-05
currentagecube,0.0006135933947397515,2.1712274813239186e-05
race_1.0,0.00077335550195275,6.14011170485905e-05
race_2.0,0.0008394391005600232,5.63277071439575e-06
race_3.0,7.5237259310722e-05,9.135502824459958e-06
race_4.0,2.2344613861595444e-05,5.528967545266243e-06
race_5.0,4.5611444822888024e-05,1.5039518481414909e-05
race_7.0,2.050615929553128e-05,6.519210134130878e-06
occ_0.0,0.002014168881756795,4.3179676968138015e-05
occ_1.0,4.7852295250643286e-05,2.2305422099094505e-05
occ_2.0,5.195542259613482e-05,1.689345888200149e-05
occ_3.0,5.824226543301169e-06,4.088049982584814e-06
occ_4.0,8.607922936522405e-05,1.4475991920636755e-05
occ_5.0,2.167338378350235e-05,1.3777917576321233e-05
occ_6.0,4.7473531808539843e-05,9.917562120123e-06
occ_7.0,2.188761198045238e-05,9.276119588570778e-07
occ_8.0,2.4449942093398294e-05,4.7584197221062275e-07
occ_9.0,1.9132108456988544e-05,3.068113457126928e-07
occ_11.0,3.0042394695748227e-05,1.4532550255671124e-05
occ_12.0,4.4933606920725765e-05,1.1796989572883914e-05
occ_13.0,6.0013745021032933e-05,3.364379233251823e-06
occ_14.0,5.049436951743816e-06,9.982868020633682e-07
occ_15.0,2.286184509456341e-05,2.286184509456341e-05
occ_16.0,1.9378291908065695e-05,1.1935488007012533e-05
occ_17.0,0.0002268291480626592,0.00013966022290219586
occ_18.0,1.2870583665514202e-05,1.2870583665514202e-05
occ_19.0,3.273918142787692e-05,4.442251506218966e-06
occ_20.0,8.099652472219154e-05,5.018093718499452e-06
occ_21.0,0.0006742735057003123,2.875189733421909e-05
occ_30.0,2.1039794534340307e-06,7.313142829126621e-07
occ_31.0,2.144943390630383e-06,9.793407508807772e-07
occ_32.0,0.0,0.0
occ_33.0,1.4457210039721307e-05,2.5263102798541107e-06
occ_34.0,0.0,0.0
occ_35.0,0.0,0.0
occ_36.0,0.0,0.0
occ_37.0,2.0426389852530494e-05,8.565721979632734e-06
occ_38.0,7.191924081693128e-07,6.706761115061364e-07
