Feature,Average SHAP Value
occ_57.0,1.2110081190034996e-07
occ_3.0,1.1828519268482344e-07
occ_74.0,1.1733596177155554e-07
occ_71.0,1.1020239608493337e-07
occ_75.0,1.0585929830055775e-07
occ_1.0,8.948838968141553e-08
occ_17.0,8.41026982333788e-08
occ_62.0,7.588011544064063e-08
occ_72.0,7.118616112062428e-08
state_25.0,6.813594779840696e-08
occ_79.0,6.222261519078773e-08
twoind_21.0,6.012812393769696e-08
state_47.0,5.918102822814879e-08
occ_50.0,5.800334835005052e-08
occ_34.0,5.038543499103298e-08
twoind_32.0,4.6221277681630157e-08
occ_43.0,3.729103430311796e-08
state_7.0,3.6413031658582135e-08
twoind_25.0,3.640699346609171e-08
twoind_23.0,3.472636409772615e-08
occ_35.0,3.450779771565036e-08
occ_63.0,3.4222171059159413e-08
occ_38.0,3.166663280597065e-08
occ_88.0,3.130378857102061e-08
occ_89.0,2.9054986165247085e-08
occ_30.0,2.7999246861804163e-08
occ_32.0,2.7769095139064303e-08
occ_56.0,2.583464247221527e-08
state_43.0,2.2083989291421703e-08
state_44.0,2.1955128681592065e-08
twoind_2.0,1.998659818323463e-08
occ_86.0,1.943523133337852e-08
occ_64.0,1.615251289468463e-08
state_51.0,1.4684587787865229e-08
occ_18.0,1.1933079876440873e-08
occ_42.0,8.147297968188868e-09
state_-999.2999877929688,5.213262804944869e-09
occ_82.0,4.418033298248009e-09
state_38.0,4.168383668116464e-09
occ_31.0,3.1800946722271456e-09
occ_36.0,2.734747683575568e-09
occ_52.0,2.104342101444939e-09
occ_94.0,2.0119782661477407e-09
occ_49.0,8.70751391400927e-10
