Feature,Average SHAP Value,Abs Mean SHAP (Net directional)
twoind_2.0,9.859065095511042e-06,9.859065095511042e-06
twoind_3.0,1.4859895736271571e-05,5.744891942924956e-06
twoind_4.0,1.3356086422874698e-05,2.4234082060271075e-06
twoind_5.0,4.396777006392714e-06,4.2787931091692886e-07
twoind_6.0,5.381148579779754e-06,1.432954276743911e-06
twoind_7.0,1.9439750187625543e-05,1.3048451756841868e-05
twoind_8.0,3.0100862541574297e-05,7.04821505738839e-06
twoind_9.0,3.1181268763713736e-05,7.657272107985253e-06
twoind_10.0,1.1242259819638323e-05,1.0376685035268494e-06
twoind_11.0,7.955584903463866e-05,1.601626571981357e-05
twoind_12.0,1.999589474571845e-05,2.326644554266418e-06
twoind_13.0,4.2141905571640016e-05,8.590551659693516e-06
twoind_14.0,0.00026395131548957805,3.532599355627004e-06
twoind_15.0,0.0009055748732484041,0.00010864205116658663
twoind_16.0,4.610607289870106e-05,1.3372961801949408e-06
twoind_18.0,0.00015050809394821896,3.681436250579579e-06
twoind_19.0,2.680018003804455e-05,7.610006274627421e-06
twoind_20.0,1.3994601735962004e-05,4.936233143936986e-06
twoind_21.0,8.776644479826929e-05,2.8725858198394046e-05
twoind_22.0,8.832762993603551e-05,4.9968063643684615e-05
twoind_23.0,9.718988152273161e-06,3.041343134041057e-06
twoind_24.0,6.25538976615845e-05,9.193929282594697e-06
twoind_25.0,0.00014304771840997811,2.636917205265644e-06
twoind_27.0,1.4091070123885058e-05,1.0060109568738927e-06
twoind_28.0,1.7128536821038176e-05,9.738778427598927e-06
twoind_29.0,0.0004410067598032754,0.0001670370484447131
twoind_30.0,0.00130765766941885,6.605839070267331e-05
twoind_31.0,2.6802642911837295e-05,4.947076640064775e-06
twoind_32.0,2.7852075689600673e-06,2.7852075689600673e-06
twoind_33.0,0.00021573941039594572,1.574399667066975e-05
twoind_34.0,3.3051118428892426e-06,3.3051118428892426e-06
EDU1,0.00037109278669317876,0.00010206754386513839
EDU2,0.0001241146891281697,2.7885080856629495e-05
EDU3,0.00018511180486378433,2.5509895827844308e-05
EDU4,9.44216372148439e-05,1.6017745318576226e-07
