variable,pvalue,order
ma5aep,.93849999,1
PrRecess,.76880002,2
race_dum1,.6494,3
EDU3,.4729,4
veteran,.39120001,5
currentage,.4587,6
EDU1,.3062,7
state_dum1,.183,8
tenure,.2326,9
EDU2,.1525,10
year_dum1,.1517,11
rGDPgrow,.70169997,12
cohort_dum1,.71799999,13
OLF,.094099998,14
