variable,pvalue,order
PrRecess,.81709999,1
ten_dum2,.71740001,2
year_dum1,.4429,3
race_dum1,.3039,4
ma5aep,.1759,5
OLF,.1477,6
cohort_dum1,.1218,7
censdiv_dum1,.092799999,8
edu_dum1,.1021,9
agebin_dum1,.064900003,10
