variable,pvalue,order
tenure,.76609999,1
OLF,.4612,2
race_dum1,.4145,3
year_dum1,.25960001,4
PrRecess,.43990001,5
cohort_dum1,.28389999,6
rGDPgrow,.2096,7
state_dum1,.1062,8
