Feature,Average SHAP Value,Abs Mean SHAP (Net directional)
year_2001.0,2.248719938094705e-05,3.1203983584374965e-07
year_2003.0,5.534943528464393e-05,3.756773211326526e-05
year_2005.0,0.00016207956617761884,1.495785160499115e-05
year_2007.0,7.887797360480866e-05,2.3682940821307712e-05
year_2009.0,3.9572563302051014e-05,1.3839370113147621e-05
year_2011.0,4.305224403142209e-05,1.5056454695966954e-05
year_2013.0,1.5099751816003278e-05,2.516529545329585e-06
year_2015.0,6.283146983822046e-05,1.747624513346144e-05
year_2017.0,1.4083632619440635e-05,5.001297301290534e-06
censdiv_0.0,8.877873790123715e-05,2.94279934077141e-06
censdiv_1.0,2.0631229434836973e-05,4.111549641007157e-06
censdiv_2.0,4.8449584539830564e-05,5.498313521535714e-06
censdiv_3.0,7.455901101531011e-05,1.2359430097095493e-05
censdiv_4.0,0.00010680009886595639,6.434705577331378e-06
censdiv_5.0,9.812462892155562e-05,4.832286752423428e-06
censdiv_6.0,9.158789538289752e-05,8.535607535866625e-06
censdiv_7.0,0.0002171624181670707,1.4699714641448177e-05
censdiv_8.0,2.8758368712458827e-05,1.202088788082803e-06
censdiv_9.0,9.446918284590815e-05,7.0027136169455125e-06
cohort_10.0,0.0001916341182879259,4.244046109667599e-06
cohort_20.0,9.745794091332905e-05,1.2644317365525952e-06
cohort_30.0,7.001860035978099e-05,3.6683479320370237e-06
cohort_40.0,0.00018251319482104269,3.680636098144836e-05
twoind_0.0,0.0002106091122550462,2.391717492283802e-05
twoind_1.0,9.227371213232312e-05,1.5007318437640206e-05
twoind_2.0,9.086584345215984e-06,9.086584345215984e-06
twoind_3.0,4.356962928754201e-05,1.035270725004366e-05
twoind_4.0,2.7908372335048753e-05,6.165711321392552e-06
twoind_5.0,3.463386914784335e-06,8.619499337858249e-08
twoind_6.0,4.004634106684714e-06,1.14116830763812e-06
twoind_7.0,3.163841350035868e-06,3.1634565777427185e-06
twoind_8.0,1.1550469593912346e-05,1.09824351699069e-06
twoind_9.0,1.6948251268947605e-05,1.4457839729358004e-06
twoind_10.0,1.3006763847727083e-05,2.343559986158393e-06
twoind_11.0,2.668900532439408e-05,5.560006295557744e-06
twoind_12.0,5.418150264956878e-06,1.9116289333006123e-06
twoind_13.0,1.960045198430919e-05,3.421945259491804e-06
twoind_14.0,2.291867468842426e-05,2.6025755369318176e-06
twoind_15.0,4.548126382354483e-05,1.621764604206485e-05
twoind_16.0,2.3405447490945243e-05,1.803378911034641e-06
twoind_18.0,0.00015073605418148905,1.723616529185979e-05
twoind_19.0,1.0132273298080102e-06,4.771411961008319e-07
twoind_20.0,1.1301279795968672e-05,3.436096734018751e-07
twoind_21.0,3.220987656706391e-05,2.6385715550426145e-06
twoind_22.0,5.0633779585268405e-05,5.444366948041614e-06
twoind_23.0,1.3422283173502919e-05,6.200338528634761e-06
twoind_24.0,1.3753263696920555e-05,7.749767634696677e-07
twoind_25.0,8.745298536001323e-06,1.999296587019955e-06
twoind_27.0,4.060068947073186e-05,1.0529168783550529e-06
twoind_28.0,1.3508714442937741e-05,5.326254227838729e-08
twoind_29.0,0.00014348864999004534,2.3961858680301905e-05
twoind_30.0,0.00014754136945870837,2.587777165987855e-05
twoind_31.0,4.13434754609429e-06,2.3792074813104583e-06
twoind_32.0,1.2642790762011759e-06,1.2642790762011759e-06
twoind_33.0,6.729764336402463e-05,7.822053289406403e-07
twoind_34.0,1.152827644141738e-05,3.1672173495498795e-06
agebin_1.0,0.00023076198981613477,5.7118258030556175e-05
agebin_2.0,0.0001972928245038947,1.4653504239804606e-05
agebin_3.0,0.0002414485240305423,1.6218417206222856e-05
agebin_4.0,5.28538716837432e-05,1.2656184860689482e-05
agebin_5.0,0.00016276358731634206,1.6042907041579497e-05
EDU1,0.00012346471837859565,1.8478684384241083e-05
EDU2,0.00011618806543568808,1.2034688013716613e-07
EDU3,0.00013648242141084892,6.157727039945434e-06
EDU4,4.082381216075322e-05,4.869581878875872e-06
