Feature,Average SHAP Value,Abs Mean SHAP (Net directional)
year_2005.0,0.00043933401787822304,2.419636220718058e-05
year_2007.0,0.00031065555825085956,4.2364133656989085e-05
year_2009.0,0.00034436616467765354,7.555785045576078e-05
year_2011.0,0.00031669304553500177,0.00013871438092766508
year_2013.0,0.000112333666923045,5.006302885417751e-07
year_2015.0,8.077865812121134e-05,9.289413505668632e-06
year_2017.0,1.2412670823186132e-05,2.985036268348423e-06
year_2019.0,6.109498500627793e-05,3.858411834740922e-05
censdiv_0.0,5.0405885522377054e-05,1.0824566248250755e-07
censdiv_1.0,7.212019428815999e-05,1.980719957792707e-05
censdiv_2.0,0.0001520628573727439,6.6595383834926584e-06
censdiv_3.0,0.0003032628563447045,1.1120780963093165e-05
censdiv_4.0,0.00039297013656623513,8.021163587620069e-07
censdiv_5.0,0.0003930841368867194,5.360728189560113e-05
censdiv_6.0,0.00018730702439149653,3.835374326074465e-05
censdiv_7.0,0.00041184549640772367,9.40858417633379e-05
censdiv_8.0,0.00014495071989087128,1.4229433766686566e-05
censdiv_9.0,0.0005188939944170007,5.051859170493153e-06
cohort_10.0,0.00031407354781821863,1.3525382458802108e-05
cohort_20.0,0.00021849866719529496,2.71516076733128e-05
cohort_30.0,0.0003569149125656325,4.17749121790341e-05
cohort_40.0,0.0012584847727907167,0.00011652338397808897
twoind_0.0,0.001937563115110067,0.00010800808449032763
twoind_1.0,0.000746958969766434,0.00022984542732230157
twoind_2.0,1.205152855895683e-05,1.205152855895683e-05
twoind_3.0,2.7749743600882463e-05,5.521646557875272e-06
twoind_4.0,4.216002880449106e-05,2.370236798235184e-05
twoind_5.0,6.483733446365081e-06,2.7201754328928905e-06
twoind_6.0,3.308648569978255e-06,1.139255743569157e-06
twoind_7.0,7.814581344258033e-06,2.9161729990011106e-06
twoind_8.0,2.3789892210177764e-05,3.1682435921024132e-06
twoind_9.0,0.00012482821860293732,1.8468899578391023e-05
twoind_10.0,2.8009798907258726e-05,3.554537724291946e-06
twoind_11.0,5.039026117800944e-05,5.156278440810667e-06
twoind_12.0,9.292668162676575e-06,2.7147547203389033e-06
twoind_13.0,3.7370088109210875e-05,1.3074498590121306e-05
twoind_14.0,0.0004171964711978285,1.4492653874432758e-05
twoind_15.0,0.0006872638889103843,5.765916413456909e-05
twoind_16.0,0.0001070944763895066,9.702579884396841e-06
twoind_18.0,0.00034796377622338864,5.285136460456346e-06
twoind_19.0,4.476935280132949e-06,2.4323517563570283e-06
twoind_20.0,1.3687572864706867e-05,4.5710351908704914e-06
twoind_21.0,0.0004228972339009995,3.94857439942155e-05
twoind_22.0,4.934884312531335e-05,7.500097807089617e-06
twoind_23.0,2.6614946137902924e-05,1.1068163147812098e-05
twoind_24.0,5.429414776170544e-05,2.7303826751829072e-05
twoind_25.0,7.515614861303637e-05,1.4172020276478509e-05
twoind_27.0,3.967113241398576e-05,8.808229006937358e-06
twoind_28.0,2.1681839384078545e-05,1.3746888379746814e-06
twoind_29.0,0.000355381243130792,4.514070728614773e-05
twoind_30.0,0.0008718798307599693,9.027273681673656e-05
twoind_31.0,8.36632991162908e-06,5.348008676991312e-06
twoind_32.0,4.316468830797002e-06,4.316468830797002e-06
twoind_33.0,0.0003629068920199484,5.3100152230054235e-05
twoind_34.0,2.44345626143499e-05,1.580619621769275e-05
agebin_1.0,0.00023270137623133,4.0269599841214084e-05
agebin_2.0,0.00027741279532153144,2.179745136930428e-05
agebin_3.0,0.0004765109660964333,2.1724278540589788e-05
agebin_4.0,0.0004703938303347791,5.5563775651574216e-05
agebin_5.0,0.0002605786038724169,3.903275468002956e-05
EDU1,0.00036800838059437087,4.401656882275279e-05
EDU2,0.00021616016817821342,1.3930249187827235e-05
EDU3,0.0003006679033219918,1.311460303473347e-05
EDU4,0.0001231042654131568,2.163466290429905e-05
