Feature,Average SHAP Value,Abs Mean SHAP (Net directional)
year_1997.0,6.997199475669955e-05,4.407708924708019e-05
year_1999.0,6.790115872392642e-05,1.4315492608095e-05
year_2001.0,5.650428784242527e-05,2.2717791035987685e-05
year_2003.0,3.361259311327203e-05,6.49054357543591e-06
year_2005.0,9.407132034249864e-05,9.184109855061458e-06
year_2007.0,6.964872506332772e-05,3.035376329772816e-05
year_2009.0,7.397898057990082e-05,1.3629056128361756e-05
year_2011.0,2.4733442641226897e-05,7.289607933856313e-07
year_2013.0,3.692416350170637e-05,1.3891466162640718e-05
year_2015.0,1.3300502343574742e-05,8.048351690048852e-09
year_2017.0,4.6195489199371435e-05,3.4503129680923726e-05
censdiv_0.0,1.975108434360883e-05,1.975108434360883e-05
censdiv_1.0,1.7754994359735772e-05,7.357530630348146e-06
censdiv_2.0,7.689546396389447e-05,5.467676507822768e-06
censdiv_3.0,0.0001508407900587749,1.8398869644993922e-07
censdiv_4.0,5.6932482818684294e-05,1.629538569001325e-05
censdiv_5.0,0.00010793492360254836,1.080522211321138e-05
censdiv_6.0,5.8582463102658844e-05,6.4663801979748075e-06
censdiv_7.0,0.0001758922640513487,3.956835014096058e-06
censdiv_8.0,5.8802704453272195e-05,7.3177591689526475e-06
censdiv_9.0,0.00018359840318370234,2.1327188661077365e-05
cohort_10.0,7.651480696152227e-05,1.2005191943882695e-06
cohort_20.0,0.00015416631282710608,1.60931759810046e-05
cohort_30.0,6.405886646213186e-05,2.9196881790363205e-06
cohort_40.0,0.00046388559335061623,2.7549683619316364e-05
twoind_0.0,0.0005787689806008414,1.6176176122170134e-05
twoind_1.0,4.85790678389872e-05,5.411633443028877e-06
twoind_2.0,1.210222094733527e-06,8.278293332151925e-07
twoind_3.0,4.0214479286519494e-05,4.087839327553331e-06
twoind_4.0,5.125433991360172e-06,6.30329717630504e-07
twoind_5.0,6.0382116558292974e-06,3.5295475280364367e-06
twoind_6.0,4.475231925491634e-06,4.74192928865596e-07
twoind_7.0,2.6423271636022888e-06,2.8206327050928124e-07
twoind_8.0,1.0258156845443345e-05,2.5474099725616685e-06
twoind_9.0,3.575018875803653e-05,2.1595415680157273e-05
twoind_10.0,1.522572919019405e-05,2.0168398460814996e-06
twoind_11.0,6.347211516439196e-05,1.8070770632116017e-05
twoind_12.0,2.479195375266477e-05,7.344036566512879e-06
twoind_13.0,4.307240908848121e-06,7.972760886479797e-07
twoind_14.0,2.0666595251810958e-05,2.521045378510421e-07
twoind_15.0,9.271799060248425e-05,1.0629944636729532e-05
twoind_16.0,1.4547845797278665e-05,3.6910207238208893e-07
twoind_18.0,2.989107218800571e-05,3.4429623787256675e-06
twoind_19.0,7.183700260948543e-06,4.7581981325262785e-06
twoind_20.0,7.68846192507737e-06,3.4876723603300216e-06
twoind_21.0,1.4204671540635418e-05,4.504588068536574e-06
twoind_22.0,2.9192416457768954e-05,1.6171392168221415e-05
twoind_23.0,3.017706508607814e-06,1.4803295088002652e-06
twoind_24.0,3.842837374970652e-05,3.937512246417375e-06
twoind_25.0,2.507503411124904e-05,9.620597195664459e-08
twoind_27.0,1.0680667978949746e-05,4.194385844989781e-06
twoind_28.0,1.6742846141390227e-05,3.884967541154004e-06
twoind_29.0,4.7033013164763884e-05,1.3145537415767072e-05
twoind_30.0,8.168497148523183e-05,1.6531226107012726e-05
twoind_31.0,5.740756438803126e-06,7.226957523102625e-07
twoind_32.0,9.340808044657377e-06,9.340808044657377e-06
twoind_33.0,2.3851740027709738e-05,1.4420985195312533e-06
twoind_34.0,9.038697821518404e-06,9.00449620662395e-06
agebin_1.0,0.00015103618046100522,1.231328035334551e-06
agebin_2.0,0.00012583327585937058,1.353802319449175e-05
agebin_3.0,0.00011192553552602477,9.701467386461948e-07
agebin_4.0,8.112871110112346e-05,1.0060333763590198e-05
agebin_5.0,4.5121493302737e-05,5.333053180465864e-06
EDU1,0.00019704886712464725,4.4397312360412535e-05
EDU2,7.701472700099221e-05,1.2334478140934441e-05
EDU3,8.855316399930512e-05,9.364819606719442e-06
EDU4,2.7548799403513503e-05,6.783225022934346e-06
